0 0 2.34256	0 0 1.17478
0.0932617 8.97442 7.78442	0 115.704 4.66717
0.0935059 5.93579 7.71064	0 31.9086 4.34905
0.09375 7.81592 7.63288	0 53.327 4.0159
0.0939941 8.07655 7.55098	0 59.1092 3.69743
0.0942383 7.91655 7.46524	0 58.3101 3.41544
0.0944824 7.77635 7.37655	0 52.1275 3.18259
0.0947266 7.7609 7.2865	0 54.7783 3.0057
0.0949707 6.73014 7.19725	0 54.7675 2.89051
0.0952148 6.76542 7.11126	0 41.0724 2.84434
0.095459 6.75248 7.03093	0 38.288 2.8742
0.0957031 6.75991 6.9582	0 55.6653 2.98092
0.0959473 6.31585 6.8943	0 29.27 3.1527
0.0961914 6.61035 6.83961	0 45.8347 3.36206
0.0964355 6.79201 6.79372	0 34.1434 3.56915
0.0966797 6.4497 6.75567	0 50.4499 3.7314
0.0969238 7.64518 6.72422	0 59.5307 3.81596
0.097168 6.38768 6.69823	0 50.0764 3.80993
0.0974121 7.20134 6.67678	0 43.2218 3.72406
0.0976562 6.54894 6.65932	0 49.2323 3.58842
0.0979004 5.48076 6.64559	0 27.3181 3.44239
0.0981445 6.56059 6.63546	0 40.5076 3.32326
0.0983887 7.04154 6.62876	0 40.7011 3.25728
0.0986328 7.26595 6.62503	0 44.0323 3.25509
0.098877 6.13971 6.62348	0 40.6689 3.31122
0.0991211 6.2532 6.62285	0 38.877 3.40647
0.0993652 6.42597 6.62154	0 44.1644 3.51246
0.0996094 6.28253 6.61774	0 37.1276 3.5982
0.0998535 7.69276 6.60965	0 60.899 3.63764
0.100098 6.78979 6.59576	0 55.6588 3.61642
0.100342 6.60076 6.57509	0 47.9468 3.53513
0.100586 6.72376 6.54736	0 55.2365 3.4077
0.10083 5.9829 6.51308	0 31.2313 3.2557
0.101074 7.33306 6.47347	0 45.8656 3.10135
0.101318 6.72218 6.43026	0 34.0473 2.96228
0.101562 6.54981 6.38536	0 31.5738 2.84929
0.101807 5.26693 6.34047	0 20.8558 2.76683
0.102051 6.06186 6.29677	0 34.0879 2.71444
0.102295 6.5848 6.25464	0 53.109 2.68753
0.102539 6.05109 6.21368	0 45.1007 2.67715
0.102783 5.56215 6.17281	0 43.0684 2.66924
0.103027 5.91529 6.13065	0 23.7995 2.6454
0.103271 6.93355 6.08591	0 38.9437 2.58654
0.103516 6.79129 6.03782	0 44.6956 2.47925
0.10376 7.07074 5.98632	0 64.2491 2.32253
0.104004 5.21752 5.93217	0 25.9165 2.13089
0.104248 5.60762 5.87676	0 31.3993 1.93117
0.104492 4.7939 5.82184	0 20.0323 1.75365
0.104736 5.93382 5.76912	0 24.1768 1.62158
0.10498 5.96068 5.71999	0 31.9942 1.54422
0.105225 4.94288 5.6753	0 29.0989 1.51659
0.105469 6.0724 5.63532	0 39.8621 1.52509
0.105713 6.22697 5.59973	0 43.7294 1.55541
0.105957 5.5108 5.56777	0 24.6422 1.59837
0.106201 4.86583 5.53837	0 22.6411 1.65113
0.106445 5.56238 5.51027	0 24.0888 1.71404
0.106689 4.82076 5.48219	0 19.4766 1.78565
0.106934 5.59895 5.45295	0 24.143 1.85897
0.107178 6.35747 5.42163	0 44.8641 1.92134
0.107422 5.53244 5.38772	0 36.3077 1.95782
0.107666 5.77285 5.3512	0 30.1077 1.95664
0.10791 4.90582 5.31268	0 27.4237 1.91395
0.108154 4.61473 5.27328	0 18.6983 1.83598
0.108398 5.66907 5.23458	0 25.8625 1.73772
0.108643 5.27532 5.19838	0 30.3124 1.63913
0.108887 5.32582 5.16651	0 23.048 1.5601
0.109131 4.66122 5.14052	0 21.1896 1.51607
0.109375 5.1853 5.12147	0 22.0278 1.51519
0.109619 4.52294 5.10976	0 16.4471 1.55764
0.109863 4.9342 5.10504	0 17.2921 1.63646
0.110107 4.7972 5.10624	0 12.1971 1.73972
0.110352 5.31057 5.11168	0 22.1144 1.85298
0.110596 5.34337 5.11928	0 27.3864 1.96194
0.11084 5.00024 5.1268	0 24.852 2.0546
0.111084 5.6779 5.13211	0 43.6354 2.12289
0.111328 5.16728 5.13339	0 35.1785 2.16334
0.111572 5.18093 5.12925	0 27.6881 2.17673
0.111816 4.44883 5.11887	0 18.3807 2.16688
0.112061 5.85887 5.10198	0 34.3501 2.13908
0.112305 5.59174 5.07882	0 25.7243 2.09864
0.112549 4.9601 5.05015	0 24.0934 2.04981
0.112793 4.89836 5.01715	0 26.0491 1.99531
0.113037 4.82032 4.98134	0 22.8994 1.93622
0.113281 4.66997 4.94458	0 27.6479 1.87239
0.113525 5.06039 4.90887	0 30.757 1.80317
0.11377 5.40848 4.87622	0 25.0061 1.7286
0.114014 5.07429 4.84849	0 16.1074 1.65043
0.114258 4.17929 4.82703	0 17.1234 1.5728
0.114502 4.32421 4.81255	0 25.6282 1.50191
0.114746 4.45266 4.80485	0 19.3503 1.44469
0.11499 4.35957 4.80288	0 20.5875 1.40676
0.115234 4.95865 4.80476	0 20.1899 1.39035
0.115479 4.55556 4.80814	0 18.0165 1.39318
0.115723 5.43388 4.81058	0 25.7277 1.40873
0.115967 5.5248 4.80992	0 31.7455 1.42813
0.116211 5.13884 4.80464	0 16.9058 1.44293
0.116455 4.35676 4.79399	0 20.3571 1.44771
0.116699 5.40981 4.77797	0 30.0102 1.44148
0.116943 4.19909 4.75716	0 14.8394 1.42736
0.117188 4.84839 4.7325	0 18.597 1.41085
0.117432 4.08255 4.70506	0 22.7423 1.39737
0.117676 4.67513 4.67595	0 20.1499 1.39001
0.11792 4.98753 4.64633	0 22.378 1.38829
0.118164 4.87399 4.61744	0 19.9321 1.3882
0.118408 4.68828 4.59079	0 25.0332 1.38376
0.118652 5.16768 4.5681	0 28.6781 1.3693
0.118896 3.96338 4.55121	0 15.1925 1.34196
0.119141 4.11399 4.54177	0 11.2007 1.30317
0.119385 4.55031 4.54093	0 21.2763 1.25871
0.119629 4.28595 4.54897	0 13.7613 1.21718
0.119873 3.30375 4.56508	0 11.0239 1.18747
0.120117 4.39102 4.58732	0 14.8179 1.17623
0.120361 4.90266 4.61288	0 25.724 1.18614
0.120605 5.46535 4.6385	0 33.3958 1.21554
0.12085 4.96449 4.66095	0 22.1477 1.25909
0.121094 4.64629 4.67752	0 18.1996 1.30931
0.121338 5.27318 4.68637	0 25.9657 1.35821
0.121582 5.14135 4.68666	0 23.9599 1.39884
0.121826 4.13022 4.67845	0 17.9713 1.4263
0.12207 4.75643 4.6625	0 24.0693 1.43817
0.122314 4.51532 4.64	0 20.0139 1.43445
0.122559 4.05965 4.61232	0 19.3365 1.41706
0.122803 5.71585 4.58086	0 30.6158 1.38925
0.123047 3.67507 4.54698	0 13.7735 1.35503
0.123291 4.91276 4.51202	0 22.3684 1.31859
0.123535 5.62057 4.47732	0 44.0432 1.28361
0.123779 3.3597 4.44423	0 10.5155 1.25247
0.124023 4.41367 4.41399	0 17.9207 1.22559
0.124268 4.11186 4.38767	0 21.0719 1.20124
0.124512 4.4873 4.36595	0 19.9415 1.17622
0.124756 3.66256 4.34904	0 17.9793 1.1473
0.125 4.50388 4.33656	0 17.5203 1.11291
0.125244 4.48068 4.32762	0 25.2234 1.07422
0.125488 4.18722 4.32085	0 14.3548 1.03503
0.125732 4.6879 4.31465	0 18.8465 1.00031
0.125977 4.18061 4.30731	0 19.8285 0.974027
